Bing Spatial Data Services, 2.0
Id, GeocodeRequest/Culture, GeocodeRequest/Query, GeocodeRequest/Address/AddressLine, GeocodeRequest/Address/AdminDistrict, GeocodeRequest/Address/CountryRegion, GeocodeRequest/Address/AdminDistrict2, GeocodeRequest/Address/FormattedAddress, GeocodeRequest/Address/Locality, GeocodeRequest/Address/PostalCode, GeocodeRequest/Address/PostalTown, GeocodeRequest/ConfidenceFilter/MinimumConfidence,ReverseGeocodeRequest/IncludeEntityTypes, ReverseGeocodeRequest/Location/Latitude, ReverseGeocodeRequest/Location/Longitude, GeocodeResponse/Address/AddressLine, GeocodeResponse/Address/AdminDistrict, GeocodeResponse/Address/CountryRegion, GeocodeResponse/Address/AdminDistrict2, GeocodeResponse/Address/FormattedAddress, GeocodeResponse/Address/Locality, GeocodeResponse/Address/PostalCode, GeocodeResponse/Address/PostalTown, GeocodeResponse/Address/Neighborhood, GeocodeResponse/Address/Landmark, GeocodeResponse/Confidence, GeocodeResponse/Name, GeocodeResponse/EntityType, GeocodeResponse/MatchCodes, GeocodeResponse/Point/Latitude, GeocodeResponse/Point/Longitude, GeocodeResponse/BoundingBox/SouthLatitude, GeocodeResponse/BoundingBox/WestLongitude,GeocodeResponse/BoundingBox/NorthLatitude,GeocodeResponse/BoundingBox/EastLongitude, GeocodeResponse/QueryParseValues, GeocodeResponse/GeocodePoints, StatusCode, FaultReason, TraceId
102,en-US,"325 Fifth Avenue ,  Manhattan, NY"
103,en-US,"82 Beaver Street ,  Manhattan, NY"
104,en-US,"12 East 13th Street ,  Manhattan, NY"
105,en-US,"405 West 23rd Street ,  Manhattan, NY"
106,en-US,"241 East 76th Street ,  Manhattan, NY"
107,en-US,"212 Warren Street ,  Manhattan, NY"
108,en-US,"540 East 87th Street , Brooklyn, NY"
109,en-US,"48 Bond Street ,  Manhattan, NY"
110,en-US,"350 West 42nd Street ,  Manhattan, NY"
111,en-US,"251 West 89th Street ,  Manhattan, NY"
112,en-US,"151 East 83rd Street ,  Manhattan, NY"
113,en-US,"120 West 58th Street ,  Manhattan, NY"
114,en-US,"88-01 35th Avenue ,  Queens, NY"
115,en-US,"319 East 105th Street ,  Manhattan, NY"
116,en-US,"306 Gold Street ,  Brooklyn, NY"
117,en-US,"3585 Greystone Avenue ,  Bronx, NY"
118,en-US,"30-25 21st Street ,  Queens, NY"
119,en-US,"30 West 63rd Street ,  Manhattan, NY"
120,en-US,"1400 Fifth Avenue ,  Manhattan, NY"
121,en-US,"240 Park Avenue South ,  Manhattan, NY"
122,en-US,"152-72 Melbourne Avenue ,  Queens, NY"
123,en-US,"30-25 21st Street ,  Queens, NY"
124,en-US,"200 East 66th Street ,  Manhattan, NY"
125,en-US,"333 East 30th Street ,  Manhattan, NY"
126,en-US,"333 East 30th Street ,  Manhattan, NY"
127,en-US,"350 Albany Street ,  Manhattan, NY"
128,en-US,"661 Lafayette Avenue ,  Brooklyn, NY"
129,en-US,"40 East 94th Street ,  Manhattan, NY"
130,en-US,"40 East 94th Street ,  Manhattan, NY"
131,en-US,"400 East 85th Street ,  Manhattan, NY"
